transaction_id,date_key,transaction_date,cost_center_key,business_unit_key,gl_account_key,vendor_key,project_key,scenario,amount,notes
TXN0000001,20220101,2022-01-01,104001,BU03,611000,,,Actual,246112.92,Normal monthly spend
TXN0000002,20220101,2022-01-01,104001,BU03,613000,,,Actual,62005.8,Normal monthly spend
TXN0000003,20220101,2022-01-01,104001,BU03,613050,,,Actual,70742.41,Normal monthly spend
TXN0000004,20220101,2022-01-01,104001,BU03,612000,,,Actual,81763.06,Normal monthly spend
TXN0000005,20220101,2022-01-01,104001,BU03,614000,,,Actual,33729.48,Normal monthly spend
TXN0000006,20220101,2022-01-01,104001,BU03,612070,,,Actual,24599.36,Normal monthly spend
TXN0000007,20220101,2022-01-01,104001,BU03,615000,,,Actual,15934.7,Normal monthly spend
TXN0000008,20220101,2022-01-01,104001,BU03,616000,,,Actual,3696.32,Normal monthly spend
TXN0000009,20220101,2022-01-01,104001,BU03,617000,,,Actual,2634.82,Normal monthly spend
TXN0000010,20220101,2022-01-01,104002,BU03,611000,,,Actual,182517.38,Normal monthly spend
TXN0000011,20220101,2022-01-01,104002,BU03,613000,,,Actual,64867.72,Normal monthly spend
TXN0000012,20220101,2022-01-01,104002,BU03,613050,,,Actual,44617.16,Normal monthly spend
TXN0000013,20220101,2022-01-01,104002,BU03,612000,,,Actual,88427.18,Normal monthly spend
TXN0000014,20220101,2022-01-01,104002,BU03,614000,,,Actual,30379.07,Normal monthly spend
TXN0000015,20220101,2022-01-01,104002,BU03,612070,,,Actual,20157.63,Normal monthly spend
TXN0000016,20220101,2022-01-01,104002,BU03,615000,,,Actual,13215.65,Normal monthly spend
TXN0000017,20220101,2022-01-01,104002,BU03,616000,,,Actual,4542.69,Normal monthly spend
TXN0000018,20220101,2022-01-01,104002,BU03,617000,,,Actual,2278.05,Normal monthly spend
TXN0000019,20220101,2022-01-01,104003,BU03,611000,,,Actual,140770.76,Normal monthly spend
TXN0000020,20220101,2022-01-01,104003,BU03,613000,,,Actual,42035.5,Normal monthly spend
TXN0000021,20220101,2022-01-01,104003,BU03,613050,,,Actual,37521.16,Normal monthly spend
TXN0000022,20220101,2022-01-01,104003,BU03,612000,,,Actual,58350.08,Normal monthly spend
TXN0000023,20220101,2022-01-01,104003,BU03,614000,,,Actual,27265.81,Normal monthly spend
TXN0000024,20220101,2022-01-01,104003,BU03,612070,,,Actual,15504.31,Normal monthly spend
TXN0000025,20220101,2022-01-01,104003,BU03,615000,,,Actual,7481.33,Normal monthly spend
TXN0000026,20220101,2022-01-01,104003,BU03,616000,,,Actual,2998.53,Normal monthly spend
TXN0000027,20220101,2022-01-01,104003,BU03,617000,,,Actual,1569.22,Normal monthly spend
TXN0000028,20220101,2022-01-01,104005,BU03,611000,,,Actual,82593.72,Normal monthly spend
TXN0000029,20220101,2022-01-01,104005,BU03,613000,,,Actual,29958.95,Normal monthly spend
