date_key,cost_center_key,business_unit_key,gl_account_key,gl_category,amount,scenario,notes
20220101,104001,BU03,611000,Internal Labor,211461.77,Budget,Annual operating plan allocation
20220101,104001,BU03,613000,Software,69534.11,Budget,Annual operating plan allocation
20220101,104001,BU03,613050,Cloud,63274.34,Budget,Annual operating plan allocation
20220101,104001,BU03,612000,External Labor,92172.86,Budget,Annual operating plan allocation
20220101,104001,BU03,614000,Professional Services,34899.33,Budget,Annual operating plan allocation
20220101,104001,BU03,612070,Hardware,24161.58,Budget,Annual operating plan allocation
20220101,104001,BU03,615000,Telecom,14556.23,Budget,Annual operating plan allocation
20220101,104001,BU03,616000,Training,4089.54,Budget,Annual operating plan allocation
20220101,104001,BU03,617000,Travel,2822.69,Budget,Annual operating plan allocation
20220101,104002,BU03,611000,Internal Labor,182152.98,Budget,Annual operating plan allocation
20220101,104002,BU03,613000,Software,61622.48,Budget,Annual operating plan allocation
20220101,104002,BU03,613050,Cloud,49241.9,Budget,Annual operating plan allocation
20220101,104002,BU03,612000,External Labor,84985.16,Budget,Annual operating plan allocation
20220101,104002,BU03,614000,Professional Services,33375.55,Budget,Annual operating plan allocation
20220101,104002,BU03,612070,Hardware,22127.25,Budget,Annual operating plan allocation
20220101,104002,BU03,615000,Telecom,11346.79,Budget,Annual operating plan allocation
20220101,104002,BU03,616000,Training,3936.89,Budget,Annual operating plan allocation
20220101,104002,BU03,617000,Travel,2486.3,Budget,Annual operating plan allocation
20220101,104003,BU03,611000,Internal Labor,125682.41,Budget,Annual operating plan allocation
20220101,104003,BU03,613000,Software,41657.42,Budget,Annual operating plan allocation
20220101,104003,BU03,613050,Cloud,39646.45,Budget,Annual operating plan allocation
20220101,104003,BU03,612000,External Labor,61578.48,Budget,Annual operating plan allocation
20220101,104003,BU03,614000,Professional Services,24739.24,Budget,Annual operating plan allocation
20220101,104003,BU03,612070,Hardware,16317.85,Budget,Annual operating plan allocation
20220101,104003,BU03,615000,Telecom,7889.31,Budget,Annual operating plan allocation
20220101,104003,BU03,616000,Training,2586.53,Budget,Annual operating plan allocation
20220101,104003,BU03,617000,Travel,1764.28,Budget,Annual operating plan allocation
