date_key,cost_center_key,business_unit_key,vendor_key,resource_name,role,hourly_rate,hours,amount,project_key,contract_end_date,risk_level
20220101,104002,BU03,VEN007,Contractor 385,Architect,85,102,8670,PRJ008,2022-05-28,Medium
20220101,104002,BU03,VEN008,Contractor 213,QA Analyst,165,109,17985,PRJ008,2022-06-28,High
20220101,104002,BU03,VEN008,Contractor 334,Developer,125,92,11500,PRJ009,2022-03-28,Low
20220101,104002,BU03,VEN007,Contractor 145,Cloud Engineer,85,108,9180,PRJ010,2022-07-15,High
20220101,104017,BU02,VEN006,Contractor 301,Developer,110,95,10450,PRJ009,2022-09-15,Low
20220101,104017,BU02,VEN008,Contractor 852,Scrum Master,125,100,12500,PRJ006,2022-04-28,Low
20220101,104017,BU02,VEN009,Contractor 913,Developer,125,120,15000,PRJ004,2022-07-28,Low
20220101,104018,BU06,VEN006,Contractor 562,Cloud Engineer,85,139,11815,PRJ008,2022-07-15,High
20220101,104019,BU03,VEN007,Contractor 224,Architect,125,146,18250,PRJ005,2022-03-28,Medium
20220101,104019,BU03,VEN009,Contractor 979,Cloud Engineer,145,94,13630,PRJ003,2022-09-15,Low
20220101,104019,BU03,VEN009,Contractor 140,Developer,125,160,20000,PRJ003,2022-03-15,Medium
20220101,104019,BU03,VEN014,Contractor 271,Architect,125,83,10375,PRJ008,2022-05-28,High
20220101,104023,BU02,VEN009,Contractor 258,RTE,85,96,8160,PRJ004,2022-05-15,Low
20220101,104023,BU02,VEN006,Contractor 466,Developer,110,115,12650,PRJ006,2022-03-28,High
20220101,104026,BU01,VEN008,Contractor 228,RTE,110,145,15950,PRJ008,2022-08-15,Low
20220101,104027,BU02,VEN008,Contractor 580,Developer,145,114,16530,PRJ004,2022-03-28,Medium
20220101,104028,BU03,VEN009,Contractor 171,Architect,125,106,13250,PRJ005,2022-07-28,Medium
20220101,104028,BU03,VEN006,Contractor 103,Scrum Master,95,168,15960,PRJ002,2022-04-15,High
20220101,104028,BU03,VEN008,Contractor 507,Cloud Engineer,165,176,29040,PRJ004,2022-03-28,Medium
20220101,109003,BU04,VEN006,Contractor 416,Developer,125,172,21500,PRJ009,2022-03-15,Low
20220101,109003,BU04,VEN007,Contractor 232,Architect,85,118,10030,PRJ002,2022-06-28,High
20220101,110101,BU05,VEN007,Contractor 767,Cloud Engineer,95,133,12635,PRJ001,2022-08-15,Medium
20220101,110101,BU05,VEN007,Contractor 997,Architect,165,114,18810,PRJ002,2022-07-15,Low
20220101,110101,BU05,VEN006,Contractor 972,Developer,165,140,23100,PRJ009,2022-08-15,Medium
20220101,110102,BU05,VEN006,Contractor 854,Architect,85,92,7820,PRJ005,2022-09-15,Medium
20220101,110102,BU05,VEN014,Contractor 729,Scrum Master,110,155,17050,PRJ008,2022-05-15,Low
20220101,110102,BU05,VEN006,Contractor 390,RTE,145,124,17980,PRJ006,2022-08-28,High
20220101,110102,BU05,VEN009,Contractor 946,Developer,145,149,21605,PRJ010,2022-05-28,Low
20220101,120201,BU06,VEN006,Contractor 285,QA Analyst,95,176,16720,PRJ007,2022-05-28,High
20220101,120201,BU06,VEN006,Contractor 579,Developer,95,87,8265,PRJ009,2022-07-28,Medium
20220101,120201,BU06,VEN008,Contractor 180,RTE,110,127,13970,PRJ001,2022-05-15,Medium
20220101,120201,BU06,VEN009,Contractor 527,QA Analyst,125,138,17250,PRJ003,2022-03-15,Low
20220201,104002,BU03,VEN009,Contractor 833,QA Analyst,165,168,27720,PRJ004,2022-04-15,Low
20220201,104018,BU06,VEN008,Contractor 813,Architect,95,105,9975,PRJ006,2022-10-28,Medium
20220201,104023,BU02,VEN009,Contractor 581,Developer,145,136,19720,PRJ001,2022-08-28,Medium
20220201,104026,BU01,VEN009,Contractor 603,Scrum Master,125,98,12250,PRJ005,2022-09-15,High
20220201,104026,BU01,VEN008,Contractor 846,Cloud Engineer,85,95,8075,PRJ010,2022-05-15,Medium
20220201,104034,BU03,VEN006,Contractor 474,Architect,125,137,17125,PRJ004,2022-07-15,Low
20220201,104034,BU03,VEN006,Contractor 508,Architect,145,130,18850,PRJ009,2022-09-28,Medium
20220201,104034,BU03,VEN014,Contractor 292,Scrum Master,110,125,13750,PRJ003,2022-07-15,Medium
20220201,109003,BU04,VEN007,Contractor 378,QA Analyst,95,146,13870,PRJ007,2022-07-28,Medium
20220201,109003,BU04,VEN009,Contractor 596,RTE,95,173,16435,PRJ009,2022-06-28,Medium
20220201,109003,BU04,VEN009,Contractor 941,Architect,165,99,16335,PRJ004,2022-06-15,Low
20220201,109003,BU04,VEN014,Contractor 350,RTE,165,87,14355,PRJ007,2022-10-15,Low
20220201,110101,BU05,VEN008,Contractor 531,Cloud Engineer,110,132,14520,PRJ006,2022-07-28,High
20220201,110101,BU05,VEN009,Contractor 304,QA Analyst,165,89,14685,PRJ002,2022-10-15,Low
20220201,110101,BU05,VEN007,Contractor 463,Scrum Master,125,83,10375,PRJ009,2022-08-28,Low
20220201,110101,BU05,VEN006,Contractor 854,RTE,110,91,10010,PRJ001,2022-09-28,High
20220201,110102,BU05,VEN008,Contractor 798,Developer,85,127,10795,PRJ009,2022-10-15,Medium
20220201,110102,BU05,VEN008,Contractor 155,RTE,145,142,20590,PRJ003,2022-05-28,Medium
20220201,110102,BU05,VEN007,Contractor 790,Scrum Master,85,157,13345,PRJ007,2022-04-28,High
20220201,110102,BU05,VEN009,Contractor 824,Cloud Engineer,85,173,14705,PRJ009,2022-07-28,Medium
20220301,104001,BU03,VEN007,Contractor 305,Scrum Master,95,171,16245,PRJ009,2022-08-28,High
20220301,104018,BU06,VEN014,Contractor 791,QA Analyst,110,134,14740,PRJ006,2022-08-15,Medium
20220301,104018,BU06,VEN006,Contractor 227,Architect,95,84,7980,PRJ003,2022-05-28,Medium
20220301,104018,BU06,VEN007,Contractor 434,Cloud Engineer,85,87,7395,PRJ008,2022-08-28,Low
20220301,104018,BU06,VEN009,Contractor 426,Cloud Engineer,95,164,15580,PRJ006,2022-09-28,Low
20220301,104023,BU02,VEN007,Contractor 867,RTE,125,120,15000,PRJ007,2022-05-15,Low
20220301,104023,BU02,VEN007,Contractor 933,QA Analyst,125,122,15250,PRJ007,2022-08-15,Low
20220301,104023,BU02,VEN009,Contractor 382,Developer,145,144,20880,PRJ004,2022-08-15,High
20220301,104026,BU01,VEN007,Contractor 107,Scrum Master,125,89,11125,PRJ009,2022-10-28,Medium
20220301,104026,BU01,VEN014,Contractor 642,Scrum Master,125,171,21375,PRJ009,2022-10-15,Medium
20220301,104026,BU01,VEN014,Contractor 959,Developer,125,140,17500,PRJ003,2022-11-15,Medium
20220301,104026,BU01,VEN006,Contractor 795,Developer,125,108,13500,PRJ006,2022-05-15,Low
20220301,109003,BU04,VEN006,Contractor 774,Developer,85,88,7480,PRJ007,2022-08-28,High
20220301,109003,BU04,VEN014,Contractor 533,Scrum Master,145,104,15080,PRJ009,2022-06-15,Medium
20220301,109003,BU04,VEN014,Contractor 702,RTE,125,88,11000,PRJ005,2022-10-28,Low
20220301,110101,BU05,VEN007,Contractor 272,RTE,165,148,24420,PRJ005,2022-10-28,High
20220401,104003,BU03,VEN006,Contractor 367,QA Analyst,165,145,23925,PRJ003,2022-12-15,High
20220401,104005,BU03,VEN007,Contractor 179,Developer,85,114,9690,PRJ003,2022-08-28,Medium
20220401,104017,BU02,VEN008,Contractor 445,Cloud Engineer,95,110,10450,PRJ005,2022-10-15,Medium
20220401,104017,BU02,VEN007,Contractor 328,QA Analyst,95,150,14250,PRJ003,2022-06-15,Medium
20220401,104017,BU02,VEN007,Contractor 464,Cloud Engineer,145,135,19575,PRJ003,2022-08-28,High
20220401,104017,BU02,VEN009,Contractor 471,Architect,145,156,22620,PRJ001,2022-09-15,Medium
20220401,104018,BU06,VEN009,Contractor 205,Scrum Master,165,106,17490,PRJ007,2022-09-15,Medium
20220401,104018,BU06,VEN006,Contractor 837,Developer,125,154,19250,PRJ010,2022-09-15,Low
20220401,104018,BU06,VEN008,Contractor 388,RTE,110,171,18810,PRJ008,2022-07-28,Low
20220401,104018,BU06,VEN008,Contractor 146,Developer,110,175,19250,PRJ010,2022-08-28,High
20220401,104022,BU03,VEN009,Contractor 286,Cloud Engineer,85,124,10540,PRJ007,2022-12-15,Low
20220401,104022,BU03,VEN006,Contractor 673,Architect,95,120,11400,PRJ003,2022-07-15,Low
20220401,104022,BU03,VEN006,Contractor 545,Cloud Engineer,125,133,16625,PRJ008,2022-09-15,High
20220401,104022,BU03,VEN014,Contractor 626,Architect,110,139,15290,PRJ001,2022-10-15,Medium
20220401,104023,BU02,VEN007,Contractor 536,RTE,145,86,12470,PRJ007,2022-09-15,Medium
20220401,104023,BU02,VEN009,Contractor 495,Scrum Master,125,150,18750,PRJ007,2022-12-15,Medium
20220401,104026,BU01,VEN009,Contractor 427,RTE,85,163,13855,PRJ001,2022-10-28,Low
20220401,104026,BU01,VEN007,Contractor 274,QA Analyst,125,104,13000,PRJ008,2022-10-15,Low
20220401,104026,BU01,VEN008,Contractor 127,Scrum Master,110,171,18810,PRJ007,2022-08-28,Low
