date_key,cost_center_key,business_unit_key,gl_account_key,gl_category,forecast_cycle,amount,notes
20220101,104001,BU03,611000,Internal Labor,3+9 Forecast,215112.73,Forecast model with updated business inputs
20220101,104001,BU03,611000,Internal Labor,6+6 Forecast,217246.02,Forecast model with updated business inputs
20220101,104001,BU03,611000,Internal Labor,9+3 Forecast,215368.12,Forecast model with updated business inputs
20220101,104001,BU03,611000,Internal Labor,Current Forecast,215329.64,Forecast model with updated business inputs
20220101,104001,BU03,613000,Software,3+9 Forecast,72843.25,Forecast model with updated business inputs
20220101,104001,BU03,613000,Software,6+6 Forecast,70633.96,Forecast model with updated business inputs
20220101,104001,BU03,613000,Software,9+3 Forecast,68819.24,Forecast model with updated business inputs
20220101,104001,BU03,613000,Software,Current Forecast,70638.55,Forecast model with updated business inputs
20220101,104001,BU03,613050,Cloud,3+9 Forecast,63945.53,Forecast model with updated business inputs
20220101,104001,BU03,613050,Cloud,6+6 Forecast,63930.58,Forecast model with updated business inputs
20220101,104001,BU03,613050,Cloud,9+3 Forecast,62362.88,Forecast model with updated business inputs
20220101,104001,BU03,613050,Cloud,Current Forecast,63896.29,Forecast model with updated business inputs
20220101,104001,BU03,612000,External Labor,3+9 Forecast,94825.57,Forecast model with updated business inputs
20220101,104001,BU03,612000,External Labor,6+6 Forecast,93819.84,Forecast model with updated business inputs
20220101,104001,BU03,612000,External Labor,9+3 Forecast,94046.76,Forecast model with updated business inputs
20220101,104001,BU03,612000,External Labor,Current Forecast,92583.24,Forecast model with updated business inputs
20220101,104001,BU03,614000,Professional Services,3+9 Forecast,36509.98,Forecast model with updated business inputs
20220101,104001,BU03,614000,Professional Services,6+6 Forecast,34848.72,Forecast model with updated business inputs
20220101,104001,BU03,614000,Professional Services,9+3 Forecast,35069.01,Forecast model with updated business inputs
20220101,104001,BU03,614000,Professional Services,Current Forecast,35048.51,Forecast model with updated business inputs
20220101,104001,BU03,612070,Hardware,3+9 Forecast,25121.3,Forecast model with updated business inputs
20220101,104001,BU03,612070,Hardware,6+6 Forecast,24855.56,Forecast model with updated business inputs
20220101,104001,BU03,612070,Hardware,9+3 Forecast,23908.58,Forecast model with updated business inputs
20220101,104001,BU03,612070,Hardware,Current Forecast,23867.35,Forecast model with updated business inputs
20220101,104001,BU03,615000,Telecom,3+9 Forecast,14724.54,Forecast model with updated business inputs
20220101,104001,BU03,615000,Telecom,6+6 Forecast,14939.12,Forecast model with updated business inputs
20220101,104001,BU03,615000,Telecom,9+3 Forecast,14602.43,Forecast model with updated business inputs
20220101,104001,BU03,615000,Telecom,Current Forecast,14627.74,Forecast model with updated business inputs
20220101,104001,BU03,616000,Training,3+9 Forecast,4279.59,Forecast model with updated business inputs
20220101,104001,BU03,616000,Training,6+6 Forecast,4177.89,Forecast model with updated business inputs
20220101,104001,BU03,616000,Training,9+3 Forecast,4085.73,Forecast model with updated business inputs
20220101,104001,BU03,616000,Training,Current Forecast,4028.8,Forecast model with updated business inputs
20220101,104001,BU03,617000,Travel,3+9 Forecast,2873.45,Forecast model with updated business inputs
20220101,104001,BU03,617000,Travel,6+6 Forecast,2860.92,Forecast model with updated business inputs
20220101,104001,BU03,617000,Travel,9+3 Forecast,2781.27,Forecast model with updated business inputs
20220101,104001,BU03,617000,Travel,Current Forecast,2840.54,Forecast model with updated business inputs
20220101,104002,BU03,611000,Internal Labor,3+9 Forecast,184937.26,Forecast model with updated business inputs
20220101,104002,BU03,611000,Internal Labor,6+6 Forecast,182671.47,Forecast model with updated business inputs
20220101,104002,BU03,611000,Internal Labor,9+3 Forecast,179683.53,Forecast model with updated business inputs
20220101,104002,BU03,611000,Internal Labor,Current Forecast,182080.97,Forecast model with updated business inputs
20220101,104002,BU03,613000,Software,3+9 Forecast,64245.96,Forecast model with updated business inputs
20220101,104002,BU03,613000,Software,6+6 Forecast,61961.85,Forecast model with updated business inputs
20220101,104002,BU03,613000,Software,9+3 Forecast,60824.47,Forecast model with updated business inputs
20220101,104002,BU03,613000,Software,Current Forecast,62667.13,Forecast model with updated business inputs
